concurso,ano,bola_1,bola_2,bola_3,bola_4,bola_5,bola_6
355,2002,2,37,22,60,14,23
354,2002,40,52,38,16,7,41
353,2002,60,46,30,55,23,19
352,2002,49,7,47,25,20,44
351,2002,15,16,59,60,24,41
350,2002,23,30,43,10,15,57
349,2002,9,38,32,8,54,28
348,2002,39,40,33,52,19,30
347,2002,26,10,52,1,12,48
346,2002,56,7,46,60,41,12
345,2002,56,11,58,46,51,22
344,2002,33,36,12,35,10,14
343,2002,4,6,7,24,12,41
342,2002,29,49,54,51,16,34
341,2002,56,23,22,43,16,5
340,2002,10,60,42,9,33,12
339,2002,13,16,12,5,27,50
338,2002,48,46,9,1,36,4
337,2002,31,52,14,54,16,4
336,2002,2,18,54,22,30,26
335,2002,43,33,57,23,59,7
334,2002,41,26,51,14,24,23
333,2002,35,27,53,44,52,4
332,2002,28,23,42,29,44,34
331,2002,27,1,35,20,37,13
330,2002,2,4,23,37,14,51
329,2002,24,11,40,12,35,10
328,2002,51,5,23,7,14,21
327,2002,46,38,29,33,32,48
326,2002,52,23,40,51,44,21
325,2001,4,23,3,1,21,53
324,2001,22,8,30,15,47,25
323,2001,31,49,54,33,26,40
322,2001,18,11,29,44,47,56
321,2001,11,31,32,48,49,4
320,2001,20,53,47,50,22,27
319,2001,12,16,23,17,19,48
318,2001,19,53,40,3,31,20
317,2001,27,20,48,16,30,35
316,2001,28,51,56,6,24,43
315,2001,50,21,43,12,28,22
314,2001,5,32,40,58,37,34
313,2001,14,38,53,24,16,37
312,2001,14,30,50,41,47,23
311,2001,32,22,24,41,30,38
310,2001,28,14,29,2,31,32
309,2001,39,50,25,55,11,4
308,2001,55,25,4,11,29,39
307,2001,26,17,13,41,16,44
306,2001,30,19,57,41,56,47
305,2001,11,5,27,60,38,53
304,2001,42,7,11,34,59,41
303,2001,7,13,30,37,47,17
302,2001,25,40,12,60,30,41
301,2001,58,26,49,57,48,9
300,2001,27,57,41,38,28,24
299,2001,7,5,2,53,33,49
298,2001,22,34,24,23,5,60
297,2001,20,28,41,1,33,36
296,2001,20,51,42,3,52,46
295,2001,24,44,7,31,12,50
294,2001,28,45,41,22,57,25
293,2001,6,12,35,5,28,7
292,2001,24,34,53,45,23,13
291,2001,22,16,5,41,18,17
290,2001,57,30,7,25,40,26
289,2001,36,6,30,20,7,25
288,2001,50,9,18,11,6,17
287,2001,60,47,3,33,25,13
286,2001,44,37,56,29,47,35
285,2001,50,56,41,12,32,37
284,2001,8,36,14,32,30,7
283,2001,48,34,28,54,25,42
282,2001,33,24,36,9,14,23
281,2001,11,5,47,31,53,38
280,2001,5,16,30,25,58,20
279,2001,31,59,4,58,23,47
278,2001,22,10,18,55,15,31
277,2001,40,26,38,4,56,52
276,2001,53,59,39,45,22,57
275,2001,16,30,19,38,48,37
274,2001,11,39,47,18,13,26
273,2001,47,52,10,27,23,17
272,2001,36,58,9,10,56,24
271,2001,14,31,54,29,26,24
270,2001,45,27,35,40,5,9
269,2001,19,18,52,25,17,49
268,2001,21,10,47,6,5,33
267,2001,58,1,45,55,8,46
266,2001,38,54,48,23,2,46
265,2001,7,50,53,16,41,34
264,2001,5,25,31,13,1,33
263,2001,8,50,26,9,53,43
262,2001,53,60,48,20,58,11
261,2001,5,54,20,56,30,16
260,2001,43,4,60,59,6,33
259,2001,20,43,33,13,15,58
258,2001,12,60,54,7,55,50
257,2001,28,5,1,34,4,19
256,2001,21,52,34,26,2,32
255,2001,32,44,55,19,20,16
254,2001,4,30,56,21,22,1
253,2001,12,11,56,44,24,37
252,2000,17,54,4,51,32,26
251,2000,34,15,23,55,49,30
250,2000,55,25,41,42,43,7
249,2000,21,55,54,40,36,49
248,2000,56,16,34,41,35,32
247,2000,34,3,30,10,23,46
246,2000,2,57,32,43,16,37
245,2000,44,51,27,53,8,60
244,2000,19,60,50,24,47,33
243,2000,20,47,23,32,16,11
242,2000,22,7,4,21,28,56
241,2000,11,57,40,35,56,31
240,2000,59,28,25,41,57,38
239,2000,33,21,44,46,47,6
238,2000,15,9,41,13,37,42
237,2000,36,7,45,31,56,57
236,2000,10,52,50,57,25,60
235,2000,29,41,55,2,31,22
234,2000,15,45,54,25,42,41
233,2000,45,3,24,36,7,32
232,2000,29,19,41,22,37,59
231,2000,16,59,27,42,44,36
230,2000,56,44,41,40,8,53
229,2000,39,45,11,21,33,13
228,2000,16,40,45,59,43,13
227,2000,37,26,27,42,11,48
226,2000,2,50,59,38,49,1
225,2000,21,16,4,37,2,58
224,2000,20,16,18,7,44,21
223,2000,28,24,22,2,58,6
222,2000,5,48,30,55,52,19
221,2000,54,13,58,43,50,27
220,2000,36,53,55,13,60,14
219,2000,26,23,49,28,42,36
218,2000,54,40,42,17,47,12
217,2000,27,32,3,51,49,45
216,2000,35,42,59,18,30,14
215,2000,7,58,28,53,37,46
214,2000,30,12,6,50,35,31
213,2000,3,30,9,35,23,32
212,2000,29,57,15,45,59,6
211,2000,10,20,40,45,50,33
210,2000,37,58,20,38,48,32
209,2000,13,52,32,41,21,26
208,2000,23,15,57,24,47,25
207,2000,19,7,3,55,24,53
206,2000,20,26,56,18,34,51
205,2000,26,32,54,43,46,40
204,2000,31,41,51,39,58,29
203,2000,11,55,44,19,29,47
202,2000,49,53,44,12,24,45
201,2000,55,22,5,30,35,20
200,1999,12,15,44,34,51,19
199,1999,52,37,57,16,10,50
198,1999,40,23,1,18,35,8
197,1999,19,52,29,15,12,5
196,1999,32,17,9,14,24,7
195,1999,17,3,44,37,9,32
194,1999,32,42,43,25,28,33
193,1999,12,4,11,49,43,19
192,1999,1,60,26,41,28,54
191,1999,58,5,41,3,1,23
190,1999,32,40,42,21,10,5
189,1999,41,53,38,4,31,15
188,1999,34,42,43,46,27,17
187,1999,6,44,58,41,36,48
186,1999,24,26,51,25,14,23
185,1999,59,17,22,46,43,55
184,1999,9,60,21,16,41,34
183,1999,16,11,7,40,44,2
182,1999,46,60,5,10,28,3
181,1999,33,1,55,35,51,27
180,1999,39,6,29,60,51,23
179,1999,6,53,5,26,27,23
178,1999,5,27,19,26,15,33
177,1999,35,22,39,41,59,38
176,1999,28,4,1,45,53,3
175,1999,10,20,13,1,42,50
174,1999,11,52,22,23,36,59
173,1999,29,28,49,17,42,50
172,1999,49,36,14,26,35,10
171,1999,54,27,4,43,40,46
170,1999,7,51,55,41,58,46
169,1999,52,51,37,13,21,1
168,1999,45,2,35,9,50,31
167,1999,1,38,48,28,11,33
166,1999,60,57,59,13,12,22
165,1999,39,56,19,23,10,35
164,1999,4,19,14,10,44,28
163,1999,41,56,27,36,53,8
162,1999,23,33,51,38,48,21
161,1999,25,37,30,39,6,41
160,1999,13,42,52,58,2,54
159,1999,16,9,50,58,11,35
158,1999,58,43,51,14,17,4
157,1999,17,13,4,44,41,21
156,1999,52,23,42,17,55,49
155,1999,12,32,44,43,35,30
154,1999,8,10,24,33,45,48
153,1999,47,2,31,42,45,30
152,1999,12,5,15,51,58,29
151,1999,3,43,16,56,52,20
150,1999,50,44,12,55,52,54
149,1999,11,45,48,7,28,20
148,1998,32,55,59,41,58,35
147,1998,24,6,38,23,28,16
146,1998,51,34,25,60,42,32
145,1998,43,15,41,51,16,31
144,1998,8,32,44,36,45,55
143,1998,40,18,6,20,50,53
142,1998,20,59,19,54,15,8
141,1998,10,22,42,13,41,58
140,1998,55,31,46,44,41,7
139,1998,26,27,13,42,41,3
138,1998,41,14,37,5,40,27
137,1998,26,15,16,22,19,49
136,1998,17,25,45,38,1,59
135,1998,35,40,21,59,53,22
134,1998,60,32,25,36,52,4
133,1998,19,57,6,39,34,5
132,1998,44,35,50,41,9,7
131,1998,30,9,17,27,4,44
130,1998,13,42,38,49,53,29
129,1998,46,54,10,9,1,32
128,1998,23,43,3,21,9,18
127,1998,59,21,51,54,29,50
126,1998,32,28,6,10,11,40
125,1998,56,47,25,59,53,41
124,1998,52,5,34,57,15,41
123,1998,13,42,16,32,14,26
122,1998,20,43,39,11,53,17
121,1998,53,41,44,2,29,55
120,1998,46,45,16,40,27,3
119,1998,47,21,1,50,36,38
118,1998,22,57,37,9,25,56
117,1998,53,42,27,20,33,25
116,1998,36,42,32,5,13,51
115,1998,6,14,24,20,4,38
114,1998,47,54,18,6,12,37
113,1998,34,54,26,28,55,7
112,1998,37,43,34,20,12,42
111,1998,52,32,4,33,25,22
110,1998,57,58,18,31,43,52
109,1998,54,13,44,49,48,1
108,1998,60,29,34,24,21,59
107,1998,2,24,52,4,16,51
106,1998,24,16,38,5,39,35
105,1998,3,13,31,43,46,49
104,1998,13,1,38,21,52,4
103,1998,9,1,57,7,54,49
102,1998,44,42,37,56,19,20
101,1998,39,1,37,31,29,18
100,1998,46,48,30,14,29,51
99,1998,30,33,24,11,46,60
98,1998,43,33,14,31,35,13
97,1998,56,53,11,14,5,35
96,1998,4,42,58,26,7,40
95,1997,46,60,6,40,50,45
94,1997,28,51,55,18,52,8
93,1997,22,53,31,28,2,36
92,1997,5,23,51,3,1,24
91,1997,60,4,10,35,39,2
90,1997,21,26,40,54,9,52
89,1997,59,42,34,13,44,55
88,1997,45,37,29,4,43,18
87,1997,40,4,28,32,11,5
86,1997,54,21,6,34,36,22
85,1997,47,15,30,37,45,6
84,1997,10,34,4,6,25,40
83,1997,24,16,4,42,57,15
82,1997,51,36,53,29,18,15
81,1997,47,41,10,60,54,23
80,1997,51,40,37,23,48,28
79,1997,43,25,2,13,31,17
78,1997,22,32,46,12,25,31
77,1997,29,54,40,57,49,21
76,1997,33,18,23,8,17,53
75,1997,36,49,37,35,24,21
74,1997,2,24,34,50,38,37
73,1997,57,25,45,28,51,26
72,1997,19,48,43,1,34,44
71,1997,53,16,45,43,33,27
70,1997,40,17,23,43,27,58
69,1997,56,58,34,53,25,45
68,1997,53,13,3,1,12,59
67,1997,47,14,27,52,17,12
66,1997,15,26,12,33,48,13
65,1997,20,1,5,32,25,34
64,1997,8,54,50,60,23,12
63,1997,26,9,41,49,25,40
62,1997,52,13,6,24,8,31
61,1997,59,8,18,29,42,44
60,1997,38,14,21,15,3,20
59,1997,28,13,34,2,8,54
58,1997,30,49,27,37,12,44
57,1997,27,17,16,34,7,59
56,1997,51,35,59,7,20,2
55,1997,29,2,14,38,23,52
54,1997,5,21,9,56,18,36
53,1997,42,13,3,46,38,16
52,1997,58,15,59,30,38,46
51,1997,23,24,42,25,17,47
50,1997,57,44,21,16,58,6
49,1997,33,7,43,35,13,55
48,1997,47,5,34,28,2,50
47,1997,35,17,3,48,25,56
46,1997,32,46,1,60,24,23
45,1997,30,7,37,55,44,53
44,1997,47,38,18,14,29,44
43,1996,2,58,25,6,26,17
42,1996,24,36,19,33,7,11
41,1996,38,26,35,39,12,47
40,1996,3,12,46,5,47,8
39,1996,16,37,45,52,56,12
38,1996,55,42,10,43,45,54
37,1996,22,6,7,52,38,60
36,1996,13,3,51,17,29,25
35,1996,21,57,16,23,54,4
34,1996,15,13,57,53,40,17
33,1996,5,33,49,17,42,39
32,1996,43,33,14,36,5,44
31,1996,56,19,28,48,17,45
30,1996,38,50,7,29,15,14
29,1996,14,56,58,8,43,3
28,1996,60,6,22,3,24,54
27,1996,44,33,13,51,17,20
26,1996,50,53,57,10,58,22
25,1996,56,50,55,54,24,43
24,1996,1,8,14,28,33,43
23,1996,17,52,51,59,39,37
22,1996,9,38,56,1,31,46
21,1996,49,46,6,53,33,36
20,1996,25,28,30,33,51,11
19,1996,5,25,12,10,60,24
18,1996,37,36,56,27,42,23
17,1996,10,20,6,19,51,13
16,1996,60,58,49,32,20,34
15,1996,60,12,33,52,35,51
14,1996,16,2,27,47,23,53
13,1996,47,32,50,54,18,56
12,1996,20,27,43,16,19,4
11,1996,25,15,58,37,59,38
10,1996,25,4,18,57,21,38
9,1996,55,43,56,54,8,60
8,1996,53,17,38,4,47,37
7,1996,56,38,21,20,3,5
6,1996,19,40,7,13,22,47
5,1996,1,19,46,6,16,2
4,1996,6,59,42,27,1,5
3,1996,36,30,10,11,29,47
2,1996,9,39,37,49,43,41
1,1996,41,5,4,52,30,33
